intoxication,exposure,28
intoxication,toxicity,26
intoxication,terrorists,19
intoxication,gas,17
intoxication,world_war,17
intoxication,atropine,15
intoxication,alcohol,14
intoxication,females,11
intoxication,terrorist_attacks,11
intoxication,chemical_warfare_agents,11
intoxication,disorder,11
intoxication,less,10
intoxication,Croatia,10
intoxication,chemical_weapons,10
intoxication,stress,10
intoxication,psychosis,9
intoxication,ricin,9
intoxication,botulinum_toxin,8
intoxication,headache,8
intoxication,attention,8
intoxication,ingestion,8
intoxication,weapons_of_mass_destruction,7
intoxication,sulfur_mustard,7
intoxication,adults,7
intoxication,acetylcholinesterase,7
intoxication,combat,7
intoxication,lung,7
intoxication,explosives,7
intoxication,abuse,7
intoxication,terrorism,6
intoxication,disturbance,6
intoxication,dysfunction,6
intoxication,1980s,6
intoxication,Veterans,6
intoxication,motor,6
intoxication,leaders,6
intoxication,body,6
intoxication,fatigue,5
intoxication,mustard_gas,5
intoxication,schizophrenia,5
intoxication,respiratory_tract,5
intoxication,attack,5
intoxication,bioterrorism_agents,5
intoxication,weapons,5
intoxication,biological_warfare_agents,5
intoxication,insecticides,5
intoxication,psychiatric_disorders,5
intoxication,shock,4
intoxication,antioxidants,4
intoxication,acceptance,4
intoxication,complaints,4
intoxication,scene,4
intoxication,consciousness,4
intoxication,warfare_agents,4
intoxication,wartime,4
intoxication,war_stress,4
intoxication,firearms,4
intoxication,anesthesia,4
intoxication,pyridostigmine,4
intoxication,zinc,4
intoxication,acid,4
intoxication,diarrhea,3
intoxication,suffering,3
intoxication,north,3
intoxication,hypertension,3
intoxication,Nurses,3
intoxication,depression,3
intoxication,armed_conflict,3
intoxication,women,3
intoxication,distress,3
